KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.38715581193502,11.61007489414794,15.797288098044476,25.92799708071795,47.9660500559221,122.62768808327812,633.750744966276
debt_to_equity,0.00900223105577812,0.06143770734982861,0.4357953051600383,1.6443674689391654,6.580315941867813,1.7874114799613603,3.076907922767068
revenue_cagr_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operating_profit_margin_pct,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.79991991811501,27.254591291247692
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,915.2173913043479,23129.88146177447
net_profit_margin_pct,4.619194610984474,7.24774515132234,14.021605915440949,20.34900889030226,29.24548245324143,19.93832104128724,45.194824367393075
asset_turnover,0.07215877547416606,0.20375406704644655,0.6705257995027023,1.1319188612860256,1.652276414908713,3.4674172842653745,15.764211442459969
interest_coverage,1.6106611743349857,3.179969072942309,11.361290955463998,58.089466998549725,192.2895238095238,126.16768429997556,485.9317090378609
earnings_per_share,7.0,16.0,41.5,77.25,183.80000000000018,83.43478260869566,138.80322892243134
book_value_per_share,11.80898314345097,28.122494056546273,104.67288872779993,216.70906502846867,474.63762162162186,163.25360423943087,185.52615239592006
